time (sec),ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),ref_gyro_x (rad/s),ref_gyro_y (rad/s),ref_gyro_z (rad/s),gyro_x (rad/s),gyro_y (rad/s),gyro_z (rad/s),mag_x (uT),mag_y (uT),mag_z (uT),ref_pos_x (m),ref_pos_y (m),ref_pos_z (m),ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s),ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg),q0 (),q1,q2,q3
0.44,0.0,0.0,-9.7803253359,0.010080292396818074,0.010652225170825508,-9.769898139500029,0.0,0.0,0.0,-6.203857130938982e-05,-0.00010666084320412378,0.00014206432557074122,-2.9987678457977692e-06,3.6724314437422417e-22,2.110615248705305e-06,0.0,0.04400000000000003,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,0.0,0.0,-9.7803253359,0.009736714097242818,0.010366967969121454,-9.76994272069707,0.0,0.0,0.0,-2.847234120659578e-05,5.861748067669041e-05,-3.440341312092147e-05,-3.0325264195060484e-06,3.713773772977866e-22,2.1994607047139328e-06,0.0,0.04500000000000003,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.46,0.0,0.0,-9.7803253359,0.009984896137105398,0.01001958705513944,-9.770539022893974,0.0,0.0,0.0,4.421343590404158e-05,-0.00020527231715880223,-0.0001240749224032298,-3.065068776252555e-06,3.7536266660041865e-22,2.290785539326638e-06,0.0,0.046000000000000034,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.47,0.0,0.0,-9.7803253359,0.009579642005271043,0.00983146524810483,-9.769918269072937,0.0,0.0,0.0,0.0001672654298966615,5.4136303673579716e-05,-7.040611562125374e-05,-3.0962761944604058e-06,3.791844730822084e-22,2.3845903322511204e-06,0.0,0.047000000000000035,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.48,0.0,0.0,-9.7803253359,0.009513844378519777,0.009917320312858732,-9.77069959275816,0.0,0.0,0.0,7.632333707998383e-05,-0.00010339601041601213,-3.114781844700089e-05,-3.1260257142641812e-06,3.8282773850259483e-22,2.480869438116029e-06,0.0,0.04800000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.49,0.0,0.0,-9.7803253359,0.010130778664133599,0.010086547042619656,-9.77016866080053,0.0,0.0,0.0,-1.4606936715644975e-05,-3.925886879365458e-05,-0.0001763250262007105,-3.154190291825012e-06,3.862769044785157e-22,2.579610519229576e-06,0.0,0.04900000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5,0.0,0.0,-9.7803253359,0.01000454857987581,0.009632451430304606,-9.770572454656996,0.0,0.0,0.0,-0.0001684546015860327,-4.806165089507126e-05,-5.7326926685444205e-06,-3.1806389898558103e-06,3.8951593581701884e-22,2.6807940717330164e-06,0.0,0.05000000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.51,0.0,0.0,-9.7803253359,0.009619838679539455,0.009946146641257722,-9.770079322946957,0.0,0.0,0.0,0.00027616724082281103,-0.0001357512798341021,6.14453725785703e-05,-3.205237206639448e-06,3.9252834856190037e-22,2.7843929477902096e-06,0.0,0.05100000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.52,0.0,0.0,-9.7803253359,0.009860030110518404,0.009769274251753576,-9.76961409613099,0.0,0.0,0.0,6.411582956042467e-05,9.443939742516132e-06,-1.2086898148134355e-06,-3.227846945797548e-06,3.9529724303085274e-22,2.890371876932009e-06,0.0,0.05200000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.53,0.0,0.0,-9.7803253359,0.01042952913851784,0.009736144156273214,-9.770076253001312,0.0,0.0,0.0,7.536403555012905e-05,1.8152229257064482e-05,-7.821639169282395e-05,-3.2483271288647237e-06,3.9780534209476956e-22,2.9986869898491017e-06,0.0,0.05300000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.54,0.0,0.0,-9.7803253359,0.010744640295466687,0.01001921675466284,-9.770358672744825,0.0,0.0,0.0,-6.841589888085618e-05,-0.00022001516847397772,6.678159865494113e-05,-3.266533952615963e-06,4.0003503493772914e-22,3.1092853484508225e-06,0.0,0.05400000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.55,0.0,0.0,-9.7803253359,0.009919806690986499,0.009520601964998024,-9.770283668817335,0.0,0.0,0.0,2.139699378935026e-05,3.980759431474393e-05,6.90957349964552e-05,-3.2823212928313726e-06,4.0196842650391424e-22,3.222104486268498e-06,0.0,0.05500000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
