ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
3.244835278019309044e-02,8.345469832420349121e-03,0.000000000000000000e+00
3.253521583974361420e-02,8.395016193389892578e-03,0.000000000000000000e+00
3.262200113385915756e-02,8.444698527455329895e-03,0.000000000000000000e+00
3.270870819687843323e-02,8.494516834616661072e-03,0.000000000000000000e+00
3.279533702880144119e-02,8.544471114873886108e-03,0.000000000000000000e+00
3.288188716396689415e-02,8.594562299549579620e-03,0.000000000000000000e+00
3.296835813671350479e-02,8.644788525998592377e-03,0.000000000000000000e+00
3.305475041270256042e-02,8.695150725543498993e-03,0.000000000000000000e+00
3.314106399193406105e-02,8.745648898184299469e-03,0.000000000000000000e+00
3.322729747742414474e-02,8.796282112598419189e-03,0.000000000000000000e+00
3.331345133483409882e-02,8.847051300108432770e-03,0.000000000000000000e+00
3.339952556416392326e-02,8.897955529391765594e-03,0.000000000000000000e+00
3.348551969975233078e-02,8.948994800448417664e-03,0.000000000000000000e+00
3.357143374159932137e-02,9.000169113278388977e-03,0.000000000000000000e+00
3.365726722404360771e-02,9.051478467881679535e-03,0.000000000000000000e+00
3.374301968142390251e-02,9.102921932935714722e-03,0.000000000000000000e+00
3.382869157940149307e-02,9.154500439763069153e-03,0.000000000000000000e+00
3.391428198665380478e-02,9.206213988363742828e-03,0.000000000000000000e+00
3.399979136884212494e-02,9.258061647415161133e-03,0.000000000000000000e+00
3.408521926030516624e-02,9.310043416917324066e-03,0.000000000000000000e+00
3.417056519538164139e-02,9.362159296870231628e-03,0.000000000000000000e+00
3.425582917407155037e-02,9.414409287273883820e-03,0.000000000000000000e+00
3.434101119637489319e-02,9.466792456805706024e-03,0.000000000000000000e+00
3.442611033096909523e-02,9.519309736788272858e-03,0.000000000000000000e+00
3.451112750917673111e-02,9.571961127221584320e-03,0.000000000000000000e+00
3.459606133401393890e-02,9.624745696783065796e-03,0.000000000000000000e+00
3.468091227114200592e-02,9.677663445472717285e-03,0.000000000000000000e+00
3.476568032056093216e-02,9.730714373290538788e-03,0.000000000000000000e+00
3.485036455094814301e-02,9.783898480236530304e-03,0.000000000000000000e+00
3.493496542796492577e-02,9.837215766310691833e-03,0.000000000000000000e+00
3.501948202028870583e-02,9.890666231513023376e-03,0.000000000000000000e+00
3.510391479358077049e-02,9.944248944520950317e-03,0.000000000000000000e+00
3.518826328217983246e-02,9.997963905334472656e-03,0.000000000000000000e+00
3.527252748608589172e-02,1.005181204527616501e-02,0.000000000000000000e+00
3.535670693963766098e-02,1.010579150170087814e-02,0.000000000000000000e+00
3.544080117717385292e-02,1.015990413725376129e-02,0.000000000000000000e+00
3.552481066435575485e-02,1.021414808928966522e-02,0.000000000000000000e+00
3.560873446986079216e-02,1.026852428913116455e-02,0.000000000000000000e+00
3.569257305935025215e-02,1.032303180545568466e-02,0.000000000000000000e+00
3.577632596716284752e-02,1.037767156958580017e-02,0.000000000000000000e+00
3.585999272763729095e-02,1.043244171887636185e-02,0.000000000000000000e+00
3.594357380643486977e-02,1.048734411597251892e-02,0.000000000000000000e+00
3.602706780657172203e-02,1.054237782955169678e-02,0.000000000000000000e+00
3.611047565937042236e-02,1.059754285961389542e-02,0.000000000000000000e+00
3.619379689916968346e-02,1.065283827483654022e-02,0.000000000000000000e+00
3.627703106030821800e-02,1.070826407521963120e-02,0.000000000000000000e+00
