accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-3.280597376873037232e-04,4.502562036570582384e-03,-9.796760458875750643e+00
1.511151894011357466e-02,-4.289138316609862958e-03,-9.796430806052327966e+00
-4.363461622905657512e-03,7.871428052390560398e-03,-9.798341824373359543e+00
4.908607921372689677e-03,3.195810167035807378e-03,-9.790774837692428179e+00
-4.064668464678514864e-03,-2.728435756101851677e-03,-9.789365559839989572e+00
8.833277489759375906e-03,5.632315592128827458e-03,-9.792939475427919760e+00
-2.659983877134361116e-03,3.535902632660689084e-03,-9.800386682848547082e+00
-1.017980380098879164e-03,6.333894992940899277e-03,-9.794444325355847525e+00
2.062102986010401484e-03,6.147141904152420532e-03,-9.794603128399893777e+00
-9.603946421298540032e-04,5.659516901751566499e-03,-9.788502899672662849e+00
-4.630242499786682217e-03,4.601749032706464737e-03,-9.790846089900508531e+00
8.841564718801897885e-03,7.692228620023319752e-03,-9.783617297698931736e+00
-6.546332816852584030e-03,-3.197922625664716828e-03,-9.789927858663149962e+00
-1.152085001196549111e-03,-1.360905017487755312e-03,-9.793073938356092967e+00
-1.227970895547275112e-03,-1.224664740778984035e-03,-9.798773745803869062e+00
-5.987638058008943123e-04,-5.890641377821893843e-03,-9.798209677923336969e+00
-4.067111705512145223e-03,-6.219914007067120758e-04,-9.793296576624564764e+00
-9.301094222450524349e-04,5.570259254163704987e-03,-9.780663647141352612e+00
3.050210979922440748e-03,3.086779094976643302e-03,-9.801863281351179680e+00
-3.412877240642897460e-03,-1.500998736570976870e-03,-9.783309502486801534e+00
8.007004059470992224e-03,1.324919204770834327e-03,-9.791859963652393972e+00
5.600351738638761206e-03,4.912837868597137551e-03,-9.799456633981982634e+00
5.116907665007665654e-03,4.862846211514993550e-03,-9.795027841821047687e+00
3.784805680319252349e-03,-8.007062378181883933e-03,-9.798488720021437004e+00
-5.525710817225601944e-03,2.324288358628061584e-03,-9.786797770444231048e+00
2.524839556462618248e-03,-6.775341401451149496e-04,-9.793016519075393944e+00
-1.655383132642547191e-03,7.034464197745977183e-04,-9.790445761724413387e+00
5.091043509579424621e-03,4.466476042173993938e-03,-9.799597947138062537e+00
-1.047609617993717004e-02,-3.310519743981198745e-04,-9.798831715760858430e+00
1.166983661500844462e-03,4.607645804086440283e-03,-9.798361408796736782e+00
-5.276422613802674716e-03,4.733731425572673158e-03,-9.804307158098046315e+00
6.024316452512070395e-03,-5.638221456055214978e-03,-9.791910027043675413e+00
2.166529501960012989e-03,5.610193210630904509e-03,-9.789895845324329215e+00
-2.950691953360655255e-03,-4.516774721494147722e-04,-9.794518699818084428e+00
-4.699438101336072572e-03,2.186443555336666129e-03,-9.791677192990013268e+00
4.704396523650502746e-03,1.019829439360539144e-04,-9.788893767836785997e+00
-3.178116041528863608e-03,8.234478821752688402e-03,-9.790955956486101286e+00
-8.752457568145468117e-03,6.510124457911142110e-03,-9.798725058127105925e+00
3.606966135655187682e-03,3.483539958073220491e-03,-9.793694540666407988e+00
-1.066943672302702543e-03,-7.978347860805856933e-04,-9.797309212851873284e+00
2.385943695315661129e-03,7.419293408703152683e-04,-9.793693586766748282e+00
-3.578458851513250608e-03,9.815004750967226341e-03,-9.789649964213898770e+00
4.968460907287294837e-03,-8.625507756716109184e-03,-9.789194741094258134e+00
-9.853322966866169888e-03,8.281169849244087930e-03,-9.796537233822398605e+00
-3.451150275572076927e-03,1.271478827609308273e-03,-9.786282522238400006e+00
3.436617537830707805e-03,4.345677973303017222e-03,-9.797050076135514374e+00
4.189385010331192965e-05,5.719875838093723894e-03,-9.803662806748089764e+00
3.152494720957129759e-04,3.608449173421990862e-03,-9.797981756781206641e+00
-5.966520383975965937e-03,-8.065734612163415196e-03,-9.794409530020729449e+00
1.646254840391157045e-03,1.515457608600388620e-03,-9.799606226011636778e+00
6.460903794341210475e-03,-5.302671856741760122e-03,-9.797806828239357557e+00
6.232248058472734541e-05,2.040267037325528207e-03,-9.796323861296009738e+00
-6.102584392597070612e-03,4.676213053760636812e-03,-9.795289155764697497e+00
-1.109224424268782667e-03,-6.723838362623531240e-03,-9.796647959369074954e+00
-1.819844083861804152e-03,1.907502050830133878e-03,-9.787957999749142601e+00
-1.393784149600400118e-02,8.448661693697132394e-03,-9.798210253521643764e+00
