gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
6.604217641448285013e-03,-1.040821758885554157e-02,1.242955756823667553e-02
9.359518970820310257e-03,-1.104857107556391112e-02,1.135260307861475637e-02
4.053238072922160304e-03,1.045344753228357078e-02,1.882987308016879566e-02
-3.760027986950321803e-03,-3.720025964473806877e-03,-1.922824260169663305e-02
-5.457939042482665148e-03,-1.127366062850464288e-03,-2.282464011187112108e-03
8.526762227222641974e-03,-6.306510644151354199e-05,3.661917084607359089e-03
-4.441178876997050121e-03,1.579563098889198887e-03,-4.254878027999549860e-03
-5.563766070692810484e-03,-2.453993440395430426e-03,7.497340620092000224e-03
4.013047199066038448e-03,1.269250901744731208e-02,9.602829850772818740e-03
7.624552102341996141e-04,1.364999326887615487e-02,5.683431786627461159e-03
-4.834222621758397370e-03,1.057117548718706883e-02,6.959118644832593820e-03
9.618754624130376046e-04,1.376789104120024242e-03,2.987950034676245883e-03
6.662173132171878009e-03,2.663715834748712954e-03,-1.351464218542036818e-03
-2.230065511706723260e-03,8.722791053043224899e-03,-2.776772890257819554e-03
2.841394461769344675e-03,5.247203172346216922e-03,-2.227622201774589680e-02
-2.982278213991236722e-03,-1.031496988366241083e-02,-1.034048893811594094e-02
3.394542139512414167e-03,4.192220409750915464e-03,6.740224625440180937e-03
5.913293361212777592e-03,8.313899493475909036e-03,-1.622242750882166643e-02
4.325257577174386296e-03,8.780282370205718875e-03,-5.530115457805407676e-03
2.896184757233546698e-03,6.571023970751460608e-03,4.920627481005630625e-03
-5.760233409256382275e-03,7.859338768143869910e-04,5.113847032090213223e-04
-4.790148536769041690e-03,-1.324937628667779879e-04,5.280061008910499031e-03
5.113745786218870659e-03,5.382685355630360130e-03,-1.068286265310263924e-02
-6.313266103819187075e-04,2.237488869074390294e-03,2.595839347243532932e-03
-6.713536621448388175e-04,1.809744232767147160e-02,-1.016568758070352397e-03
1.251068360977921094e-03,1.259363643794281229e-02,1.164797801269403486e-02
1.372591327604164762e-03,3.435644806959750825e-04,1.273535719506649865e-02
1.047639860056407118e-03,5.076018749243348636e-03,-1.589986885215875778e-02
4.268934364278600610e-03,1.617502341395827062e-02,6.387863867865708686e-03
1.965064144934219013e-03,4.500227897299649386e-03,8.144661579065641879e-03
-7.057899642685622026e-03,6.189417394304519600e-03,-7.627902357904732533e-03
1.105993655208855307e-02,-1.078693417213373411e-02,2.688693537690336945e-03
-3.807256963095241760e-03,-1.380372921898741570e-02,3.211260695248887177e-03
-7.741119725542467550e-03,5.253922430470550978e-03,2.057740483775894955e-03
5.497854967845086996e-03,9.797390236415544698e-03,1.152237575681238670e-02
-2.477746229146805552e-03,4.621139460459938752e-04,-4.635317942685382789e-03
-2.404475167438350179e-03,1.777128401639815804e-03,3.661043467306444085e-03
1.116095228403397432e-03,-5.657785213866678084e-03,-2.016366690913361584e-02
3.391999898606468025e-03,1.768779422836976641e-03,-2.157820029606375041e-03
-5.162351585369844530e-03,-9.475012182592364293e-04,-1.219954598946723472e-03
2.455818198506942024e-03,7.112795350804303890e-03,-2.989926823247042106e-03
2.478634819959236752e-03,5.651671225421399901e-03,-2.982998681597675162e-03
-8.590347610426481845e-03,-1.850906839895403999e-02,-2.753159732742262080e-03
9.573802069780579281e-04,2.281548776226208913e-02,-5.021252114998552701e-03
2.503771585790061111e-03,-1.016202331379163076e-02,1.052880870207887698e-03
-3.010597956374713204e-03,9.187178600403966833e-03,-3.493400302822667787e-04
4.510878496858431418e-03,-6.152033329293168581e-03,2.307940715946277168e-03
5.425871359414944500e-03,-2.708886942137045221e-03,5.535230348493058554e-03
-1.915082450689321175e-03,-2.836596692770471887e-03,1.537780435065922401e-02
3.086560716933879796e-03,-5.775958306413080980e-03,-2.157948423157238661e-03
-8.206430243250817727e-03,4.523373022030794527e-03,-3.998676927337541879e-04
-4.161603630159135640e-03,-1.839545937776562289e-03,2.600020134595385814e-03
4.464311231767792779e-03,-7.079287507337531603e-05,-6.705512735723540311e-04
-1.242242592961771523e-02,-1.160958539239335258e-02,-7.860162525401739875e-03
2.460876319279253072e-03,-9.002689038759696704e-05,4.922258370493944220e-03
-2.415730171719786875e-03,-2.218006987900312133e-03,6.313804562633643785e-03
-3.727546503837626986e-03,-1.482922096653195056e-02,1.079066152836489524e-02
-1.619089712416179206e-03,1.278427379026759493e-02,-4.777602763403212757e-03
-2.112161391958273723e-02,-1.908731083893374985e-03,-3.582466480991112687e-03
-1.440784117537009801e-02,1.544558851835509811e-02,4.552592797465124263e-04
1.384499716585198617e-02,-6.357195008741815812e-03,7.981234791686296626e-03
-9.898176606868298519e-03,1.405586055383849101e-03,-5.203234532076822863e-03
-2.764079847601695009e-03,3.399695549826895272e-03,4.808412442698599756e-03
-3.066974426872534371e-03,-1.213374438733446845e-03,-9.528789298550045112e-03
-1.937813197095546950e-03,-1.203183883808523619e-02,5.042286630116006238e-03
-2.108187674257458975e-03,-4.972619984086874660e-03,4.188241791871186344e-03
1.673149013895387088e-03,-9.356345804853097650e-03,-4.915092125511736666e-03
-9.614595615362648076e-03,6.067430332491248468e-03,-1.057324461636267518e-02
1.574909938950707841e-02,-1.135583477762037823e-02,-1.064778491577954636e-02
1.436810603350911503e-03,1.429603690909785974e-03,1.051283439149272927e-02
-2.169614240667622380e-03,1.197871114500533279e-03,1.596445650896639694e-03
-1.128816200494876451e-02,1.067040256524190607e-02,-1.816625900315096617e-02
-3.736644510945066108e-03,-4.396771723395308772e-03,8.120141579140729938e-04
-2.854129832108925121e-03,-2.342790616100738545e-03,4.388526566859940296e-03
-5.200958811020681485e-03,-9.401025988907929856e-03,1.546938958138421166e-02
2.155149764620095838e-03,-7.746706049923519216e-03,1.293661321264986085e-02
1.506326031951638273e-03,-3.058157088567585273e-03,7.390578788413103110e-03
-2.734119687375442722e-03,2.018165932289270239e-03,-8.004863580903834666e-03
-1.334699895207241797e-02,8.138403872372471787e-03,-4.120887061151313883e-04
7.848021476110501882e-03,2.408492654671222106e-03,-6.772986857133278353e-03
2.302321869225212609e-03,2.696822826263331387e-03,-2.322877249945505800e-04
7.380613657877292851e-03,1.038888028532972650e-02,8.735821880465835174e-03
1.754585204364612211e-02,3.519793952744930485e-03,-4.244306559074329140e-03
1.354112266162310792e-02,8.784120419539242402e-04,-9.385413819641641453e-03
2.518352875886943013e-03,-1.156717687497239161e-02,9.813528744316074234e-03
-1.109690665287114145e-04,1.041653060248443237e-02,-9.355829539818835217e-04
4.170744575878442689e-03,1.036109160239794512e-02,8.187332501796318329e-03
-1.280995951841259507e-02,-1.870330201062128444e-03,8.492773251271139648e-03
2.385537886747635355e-04,4.406110174773672505e-03,6.442804634993959216e-03
-6.018773679187768358e-03,-5.532165318597194979e-03,-7.822709909093115629e-03
-3.167854243047324349e-03,-9.062756007891643872e-03,-1.223321851510765501e-02
1.763907530765526470e-03,-1.675467041000289247e-03,1.132398192565723695e-02
-9.762473778527373455e-03,1.021642366029685937e-02,9.181619841237368199e-03
